time_s,altitude_m,vertical_velocity_ms,vertical_accel_ms2,lateral_distance_m,lateral_direction_deg,phase
0.0,1.01,10.11,101.09,0.15,60.0,BOOST
0.1,3.03,20.22,101.09,0.3,60.0,BOOST
0.2,6.07,30.33,101.09,0.45,60.0,BOOST
0.3,10.11,40.44,101.09,0.6,60.0,BOOST
0.4,15.16,50.55,101.09,0.75,60.0,BOOST
0.5,21.23,60.65,101.09,0.9,60.0,BOOST
0.6,28.31,70.76,101.09,1.05,60.0,BOOST
0.7,36.39,80.87,101.09,1.2,60.0,BOOST
0.8,45.49,90.98,101.09,1.35,60.0,BOOST
0.9,55.6,101.09,101.09,1.5,60.0,BOOST
1.0,66.72,111.2,101.09,1.65,60.0,BOOST
1.1,78.85,121.31,101.09,1.8,60.0,BOOST
1.2,91.99,131.42,101.09,1.95,60.0,BOOST
1.3,106.14,141.53,101.09,2.1,60.0,BOOST
1.4,121.31,151.64,101.09,2.25,60.0,BOOST
1.5,137.48,161.74,101.09,2.4,60.0,BOOST
1.6,154.67,171.85,101.09,2.55,60.0,BOOST
1.7,172.86,181.96,101.09,2.7,60.0,BOOST
1.8,192.07,192.07,101.09,2.85,60.0,BOOST
1.9,212.29,202.18,101.09,3.0,60.0,BOOST
2.0,233.52,212.29,101.09,3.15,60.0,BOOST
2.1,255.76,222.4,101.09,3.3,60.0,BOOST
2.2,279.01,232.51,101.09,3.45,60.0,BOOST
2.3,303.27,242.62,101.09,3.6,60.0,BOOST
2.4,328.54,252.73,101.09,3.75,60.0,BOOST
2.5,354.83,262.83,101.09,3.9,60.0,BOOST
2.6,382.12,272.94,101.09,4.05,60.0,BOOST
2.7,410.43,283.05,101.09,4.2,60.0,BOOST
2.8,439.74,293.16,101.09,4.35,60.0,BOOST
2.9,470.07,303.27,101.09,4.5,60.0,BOOST
3.0,501.41,313.38,101.09,4.65,60.0,BOOST
3.1,533.76,323.49,101.09,4.8,60.0,BOOST
3.2,567.11,333.6,101.09,4.95,60.0,BOOST
3.3,601.49,343.71,101.09,5.1,60.0,BOOST
3.4,636.87,353.81,101.09,5.25,60.0,BOOST
3.5,673.26,363.92,101.09,5.4,60.0,BOOST
3.6,710.66,374.03,101.09,5.55,60.0,BOOST
3.7,749.08,384.14,101.09,5.7,60.0,BOOST
3.8,788.5,394.25,101.09,5.85,60.0,BOOST
3.9,828.94,404.36,101.09,6.0,60.0,BOOST
4.0,869.28,403.38,-9.81,6.15,60.0,COAST
4.1,909.52,402.4,-9.81,6.3,60.0,COAST
4.2,949.66,401.42,-9.81,6.45,60.0,COAST
4.3,989.7,400.44,-9.81,6.6,60.0,COAST
4.4,1029.65,399.45,-9.81,6.75,60.0,COAST
4.5,1069.49,398.47,-9.81,6.9,60.0,COAST
4.6,1109.24,397.49,-9.81,7.05,60.0,COAST
4.7,1148.89,396.51,-9.81,7.2,60.0,COAST
4.8,1188.45,395.53,-9.81,7.35,60.0,COAST
4.9,1227.9,394.55,-9.81,7.5,60.0,COAST
5.0,1267.26,393.57,-9.81,7.65,60.0,COAST
5.1,1306.52,392.59,-9.81,7.8,60.0,COAST
5.2,1345.68,391.61,-9.81,7.95,60.0,COAST
5.3,1384.74,390.63,-9.81,8.1,60.0,COAST
5.4,1423.71,389.64,-9.81,8.25,60.0,COAST
5.5,1462.57,388.66,-9.81,8.4,60.0,COAST
5.6,1501.34,387.68,-9.81,8.55,60.0,COAST
5.7,1540.01,386.7,-9.81,8.7,60.0,COAST
5.8,1578.58,385.72,-9.81,8.85,60.0,COAST
5.9,1617.06,384.74,-9.81,9.0,60.0,COAST
6.0,1655.43,383.76,-9.81,9.15,60.0,COAST
6.1,1693.71,382.78,-9.81,9.3,60.0,COAST
6.2,1731.89,381.8,-9.81,9.45,60.0,COAST
6.3,1769.97,380.82,-9.81,9.6,60.0,COAST
6.4,1807.96,379.84,-9.81,9.75,60.0,COAST
6.5,1845.84,378.85,-9.81,9.9,60.0,COAST
6.6,1883.63,377.87,-9.81,10.05,60.0,COAST
6.7,1921.32,376.89,-9.81,10.2,60.0,COAST
6.8,1958.91,375.91,-9.81,10.35,60.0,COAST
6.9,1996.4,374.93,-9.81,10.5,60.0,COAST
7.0,2033.8,373.95,-9.81,10.65,60.0,COAST
7.1,2071.09,372.97,-9.81,10.8,60.0,COAST
7.2,2108.29,371.99,-9.81,10.95,60.0,COAST
7.3,2145.39,371.01,-9.81,11.1,60.0,COAST
7.4,2182.4,370.03,-9.81,11.25,60.0,COAST
7.5,2219.3,369.04,-9.81,11.4,60.0,COAST
7.6,2256.11,368.06,-9.81,11.55,60.0,COAST
7.7,2292.81,367.08,-9.81,11.7,60.0,COAST
7.8,2329.42,366.1,-9.81,11.85,60.0,COAST
7.9,2365.94,365.12,-9.81,12.0,60.0,COAST
8.0,2402.35,364.14,-9.81,12.15,60.0,COAST
8.1,2438.67,363.16,-9.81,12.3,60.0,COAST
8.2,2474.88,362.18,-9.81,12.45,60.0,COAST
8.3,2511.0,361.2,-9.81,12.6,60.0,COAST
8.4,2547.02,360.22,-9.81,12.75,60.0,COAST
8.5,2582.95,359.23,-9.81,12.9,60.0,COAST
8.6,2618.77,358.25,-9.81,13.05,60.0,COAST
8.7,2654.5,357.27,-9.81,13.2,60.0,COAST
8.8,2690.13,356.29,-9.81,13.35,60.0,COAST
8.9,2725.66,355.31,-9.81,13.5,60.0,COAST
9.0,2761.09,354.33,-9.81,13.65,60.0,COAST
9.1,2796.43,353.35,-9.81,13.8,60.0,COAST
9.2,2831.66,352.37,-9.81,13.95,60.0,COAST
9.3,2866.8,351.39,-9.81,14.1,60.0,COAST
9.4,2901.84,350.41,-9.81,14.25,60.0,COAST
9.5,2936.79,349.42,-9.81,14.4,60.0,COAST
9.6,2971.63,348.44,-9.81,14.55,60.0,COAST
9.7,3006.38,347.46,-9.81,14.7,60.0,COAST
9.8,3041.03,346.48,-9.81,14.85,60.0,COAST
9.9,3075.58,345.5,-9.81,15.0,60.0,COAST
10.0,3110.03,344.52,-9.81,15.15,60.0,COAST
10.1,3144.38,343.54,-9.81,15.3,60.0,COAST
10.2,3178.64,342.56,-9.81,15.45,60.0,COAST
10.3,3212.79,341.58,-9.81,15.6,60.0,COAST
10.4,3246.85,340.6,-9.81,15.75,60.0,COAST
10.5,3280.81,339.61,-9.81,15.9,60.0,COAST
10.6,3314.68,338.63,-9.81,16.05,60.0,COAST
10.7,3348.44,337.65,-9.81,16.2,60.0,COAST
10.8,3382.11,336.67,-9.81,16.35,60.0,COAST
10.9,3415.68,335.69,-9.81,16.5,60.0,COAST
11.0,3449.15,334.71,-9.81,16.65,60.0,COAST
11.1,3482.52,333.73,-9.81,16.8,60.0,COAST
11.2,3515.8,332.75,-9.81,16.95,60.0,COAST
11.3,3548.97,331.77,-9.81,17.1,60.0,COAST
11.4,3582.05,330.79,-9.81,17.25,60.0,COAST
11.5,3615.03,329.8,-9.81,17.4,60.0,COAST
11.6,3647.92,328.82,-9.81,17.55,60.0,COAST
11.7,3680.7,327.84,-9.81,17.7,60.0,COAST
11.8,3713.39,326.86,-9.81,17.85,60.0,COAST
11.9,3745.97,325.88,-9.81,18.0,60.0,COAST
12.0,3778.46,324.9,-9.81,18.15,60.0,COAST
12.1,3810.86,323.92,-9.81,18.3,60.0,COAST
12.2,3843.15,322.94,-9.81,18.45,60.0,COAST
12.3,3875.35,321.96,-9.81,18.6,60.0,COAST
12.4,3907.44,320.98,-9.81,18.75,60.0,COAST
12.5,3939.44,319.99,-9.81,18.9,60.0,COAST
12.6,3971.34,319.01,-9.81,19.05,60.0,COAST
12.7,4003.15,318.03,-9.81,19.2,60.0,COAST
12.8,4034.85,317.05,-9.81,19.35,60.0,COAST
12.9,4066.46,316.07,-9.81,19.5,60.0,COAST
13.0,4097.97,315.09,-9.81,19.65,60.0,COAST
13.1,4129.38,314.11,-9.81,19.8,60.0,COAST
13.2,4160.69,313.13,-9.81,19.95,60.0,COAST
13.3,4191.91,312.15,-9.81,20.1,60.0,COAST
13.4,4223.02,311.17,-9.81,20.25,60.0,COAST
13.5,4254.04,310.18,-9.81,20.4,60.0,COAST
13.6,4284.96,309.2,-9.81,20.55,60.0,COAST
13.7,4315.78,308.22,-9.81,20.7,60.0,COAST
13.8,4346.51,307.24,-9.81,20.85,60.0,COAST
13.9,4377.13,306.26,-9.81,21.0,60.0,COAST
14.0,4407.66,305.28,-9.81,21.15,60.0,COAST
14.1,4438.09,304.3,-9.81,21.3,60.0,COAST
14.2,4468.42,303.32,-9.81,21.45,60.0,COAST
14.3,4498.66,302.34,-9.81,21.6,60.0,COAST
14.4,4528.79,301.36,-9.81,21.75,60.0,COAST
14.5,4558.83,300.37,-9.81,21.9,60.0,COAST
14.6,4588.77,299.39,-9.81,22.05,60.0,COAST
14.7,4618.61,298.41,-9.81,22.2,60.0,COAST
14.8,4648.35,297.43,-9.81,22.35,60.0,COAST
14.9,4678.0,296.45,-9.81,22.5,60.0,COAST
15.0,4707.54,295.47,-9.81,22.65,60.0,COAST
15.1,4736.99,294.49,-9.81,22.8,60.0,COAST
15.2,4766.34,293.51,-9.81,22.95,60.0,COAST
15.3,4795.6,292.53,-9.81,23.1,60.0,COAST
15.4,4824.75,291.55,-9.81,23.25,60.0,COAST
15.5,4853.81,290.56,-9.81,23.4,60.0,COAST
15.6,4882.77,289.58,-9.81,23.55,60.0,COAST
15.7,4911.63,288.6,-9.81,23.7,60.0,COAST
15.8,4940.39,287.62,-9.81,23.85,60.0,COAST
15.9,4969.05,286.64,-9.81,24.0,60.0,COAST
16.0,4997.62,285.66,-9.81,24.15,60.0,COAST
16.1,5026.09,284.68,-9.81,24.3,60.0,COAST
16.2,5054.46,283.7,-9.81,24.45,60.0,COAST
16.3,5082.73,282.72,-9.81,24.6,60.0,COAST
16.4,5110.9,281.74,-9.81,24.75,60.0,COAST
16.5,5138.98,280.75,-9.81,24.9,60.0,COAST
16.6,5166.95,279.77,-9.81,25.05,60.0,COAST
16.7,5194.83,278.79,-9.81,25.2,60.0,COAST
16.8,5222.61,277.81,-9.81,25.35,60.0,COAST
16.9,5250.3,276.83,-9.81,25.5,60.0,COAST
17.0,5277.88,275.85,-9.81,25.65,60.0,COAST
17.1,5305.37,274.87,-9.81,25.8,60.0,COAST
17.2,5332.76,273.89,-9.81,25.95,60.0,COAST
17.3,5360.05,272.91,-9.81,26.1,60.0,COAST
17.4,5387.24,271.93,-9.81,26.25,60.0,COAST
17.5,5414.33,270.94,-9.81,26.4,60.0,COAST
17.6,5441.33,269.96,-9.81,26.55,60.0,COAST
17.7,5468.23,268.98,-9.81,26.7,60.0,COAST
17.8,5495.03,268.0,-9.81,26.85,60.0,COAST
17.9,5521.73,267.02,-9.81,27.0,60.0,COAST
18.0,5548.33,266.04,-9.81,27.15,60.0,COAST
18.1,5574.84,265.06,-9.81,27.3,60.0,COAST
18.2,5601.25,264.08,-9.81,27.45,60.0,COAST
18.3,5627.56,263.1,-9.81,27.6,60.0,COAST
18.4,5653.77,262.12,-9.81,27.75,60.0,COAST
18.5,5679.88,261.13,-9.81,27.9,60.0,COAST
18.6,5705.9,260.15,-9.81,28.05,60.0,COAST
18.7,5731.82,259.17,-9.81,28.2,60.0,COAST
18.8,5757.63,258.19,-9.81,28.35,60.0,COAST
18.9,5783.36,257.21,-9.81,28.5,60.0,COAST
19.0,5808.98,256.23,-9.81,28.65,60.0,COAST
19.1,5834.5,255.25,-9.81,28.8,60.0,COAST
19.2,5859.93,254.27,-9.81,28.95,60.0,COAST
19.3,5885.26,253.29,-9.81,29.1,60.0,COAST
19.4,5910.49,252.31,-9.81,29.25,60.0,COAST
19.5,5935.62,251.32,-9.81,29.4,60.0,COAST
19.6,5960.66,250.34,-9.81,29.55,60.0,COAST
19.7,5985.59,249.36,-9.81,29.7,60.0,COAST
19.8,6010.43,248.38,-9.81,29.85,60.0,COAST
19.9,6035.17,247.4,-9.81,30.0,60.0,COAST
20.0,6059.81,246.42,-9.81,30.15,60.0,COAST
20.1,6084.36,245.44,-9.81,30.3,60.0,COAST
20.2,6108.8,244.46,-9.81,30.45,60.0,COAST
20.3,6133.15,243.48,-9.81,30.6,60.0,COAST
20.4,6157.4,242.5,-9.81,30.75,60.0,COAST
20.5,6181.55,241.51,-9.81,30.9,60.0,COAST
20.6,6205.6,240.53,-9.81,31.05,60.0,COAST
20.7,6229.56,239.55,-9.81,31.2,60.0,COAST
20.8,6253.42,238.57,-9.81,31.35,60.0,COAST
20.9,6277.17,237.59,-9.81,31.5,60.0,COAST
21.0,6300.84,236.61,-9.81,31.65,60.0,COAST
21.1,6324.4,235.63,-9.81,31.8,60.0,COAST
21.2,6347.86,234.65,-9.81,31.95,60.0,COAST
21.3,6371.23,233.67,-9.81,32.1,60.0,COAST
21.4,6394.5,232.69,-9.81,32.25,60.0,COAST
21.5,6417.67,231.7,-9.81,32.4,60.0,COAST
21.6,6440.74,230.72,-9.81,32.55,60.0,COAST
21.7,6463.71,229.74,-9.81,32.7,60.0,COAST
21.8,6486.59,228.76,-9.81,32.85,60.0,COAST
21.9,6509.37,227.78,-9.81,33.0,60.0,COAST
22.0,6532.05,226.8,-9.81,33.15,60.0,COAST
22.1,6554.63,225.82,-9.81,33.3,60.0,COAST
22.2,6577.11,224.84,-9.81,33.45,60.0,COAST
22.3,6599.5,223.86,-9.81,33.6,60.0,COAST
22.4,6621.79,222.88,-9.81,33.75,60.0,COAST
22.5,6643.98,221.89,-9.81,33.9,60.0,COAST
22.6,6666.07,220.91,-9.81,34.05,60.0,COAST
22.7,6688.06,219.93,-9.81,34.2,60.0,COAST
22.8,6709.96,218.95,-9.81,34.35,60.0,COAST
22.9,6731.75,217.97,-9.81,34.5,60.0,COAST
23.0,6753.45,216.99,-9.81,34.65,60.0,COAST
